_section,businessCombinationTransaction_businessCombinationTransaction_clarificationOfResponse,businessCombinationTransaction_businessCombinationTransaction_isBusinessCombinationTransaction,cik,durationOfOffering_durationOfOffering_moreThanOneYear,edgarPreviousNameList_edgarPreviousNameList_value,entityName,entityType,federalExemptionsExclusions_federalExemptionsExclusions_item,industryGroup_industryGroup_industryGroupType,industryGroup_industryGroup_investmentFundInfo_investmentFundInfo_investmentFundType,industryGroup_industryGroup_investmentFundInfo_investmentFundInfo_is40Act,investors_investors_hasNonAccreditedInvestors,investors_investors_totalNumberAlreadyInvested,issuerAddress_issuerAddress_city,issuerAddress_issuerAddress_stateOrCountry,issuerAddress_issuerAddress_stateOrCountryDescription,issuerAddress_issuerAddress_street1,issuerAddress_issuerAddress_zipCode,issuerPhoneNumber,issuerPreviousNameList_issuerPreviousNameList_value,issuerSize_issuerSize_revenueRange,jurisdictionOfInc,minimumInvestmentAccepted,offeringSalesAmounts_offeringSalesAmounts_clarificationOfResponse,offeringSalesAmounts_offeringSalesAmounts_totalAmountSold,offeringSalesAmounts_offeringSalesAmounts_totalOfferingAmount,offeringSalesAmounts_offeringSalesAmounts_totalRemaining,relatedPersonAddress_relatedPersonAddress_city,relatedPersonAddress_relatedPersonAddress_stateOrCountry,relatedPersonAddress_relatedPersonAddress_stateOrCountryDescription,relatedPersonAddress_relatedPersonAddress_street1,relatedPersonAddress_relatedPersonAddress_zipCode,relatedPersonName_relatedPersonName_firstName,relatedPersonName_relatedPersonName_lastName,relatedPersonName_relatedPersonName_middleName,relatedPersonRelationshipList_relatedPersonRelationshipList_relationship,relationshipClarification,salesCommissionsFindersFees_salesCommissionsFindersFees_clarificationOfResponse,salesCommissionsFindersFees_salesCommissionsFindersFees_findersFees_findersFees_dollarAmount,salesCommissionsFindersFees_salesCommissionsFindersFees_salesCommissions_salesCommissions_dollarAmount,salesCommissionsFindersFees_salesCommissionsFindersFees_salesCommissions_salesCommissions_isEstimate,salesCompensationList_salesCompensationList_recipient_recipient_associatedBDCRDNumber,salesCompensationList_salesCompensationList_recipient_recipient_associatedBDName,salesCompensationList_salesCompensationList_recipient_recipient_foreignSolicitation,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_city,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_stateOrCountry,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_stateOrCountryDescription,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_street1,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_street2,salesCompensationList_salesCompensationList_recipient_recipient_recipientAddress_recipientAddress_zipCode,salesCompensationList_salesCompensationList_recipient_recipient_recipientCRDNumber,salesCompensationList_salesCompensationList_recipient_recipient_recipientName,salesCompensationList_salesCompensationList_recipient_recipient_statesOfSolicitationList,schemaVersion,signatureBlock_signatureBlock_authorizedRepresentative,signatureBlock_signatureBlock_signature_signature_issuerName,signatureBlock_signatureBlock_signature_signature_nameOfSigner,signatureBlock_signatureBlock_signature_signature_signatureDate,signatureBlock_signatureBlock_signature_signature_signatureName,signatureBlock_signatureBlock_signature_signature_signatureTitle,submissionType,testOrLive,typeOfFiling_typeOfFiling_dateOfFirstSale_dateOfFirstSale_yetToOccur,typeOfFiling_typeOfFiling_newOrAmendment_newOrAmendment_isAmendment,typesOfSecuritiesOffered_typesOfSecuritiesOffered_isPooledInvestmentFundType,useOfProceeds_useOfProceeds_clarificationOfResponse,useOfProceeds_useOfProceeds_grossProceedsUsed_grossProceedsUsed_dollarAmount,yearOfInc_yearOfInc_value,yearOfInc_yearOfInc_withinFiveYears
schemaVersion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X0708,,,,,,,,,,,,,,,
submissionType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,
testOrLive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIVE,,,,,,,
primaryIssuer,,,0001945214,,None,Blackstone Real Estate Debt Strategies V (Feeder Fund) (LUX) SCSp,Limited Partnership,,,,,,,NEW YORK,NY,NEW YORK,345 PARK AVENUE,10154,212-583-5000,None,,LUXEMBOURG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,true
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,345 Park Avenue,10154,n/a,Blackstone Real Estate Debt Strategies Associates V (LUX) S.a r.l.,,Promoter,General Partner of the Issuer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,345 Park Avenue,10154,n/a,Blackstone Real Estate Debt Strategies Associates V L.P.,,Promoter,"Special General Partner of the Issuer (the ""Special GP"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,345 Park Avenue,10154,n/a,BREDS V GP L.L.C.,,Promoter,General Partner of the Special GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,345 Park Avenue,10154,Michael,Nash,B.,Executive Officer,Senior Managing Director of the General Partner of the Special GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,345 Park Avenue,10154,Stephen,Plavin,D.,Executive Officer,Senior Managing Director of the General Partner of the Special GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,345 Park Avenue,10154,Jonathan,Pollack,,Executive Officer,Senior Managing Director of the General Partner of the Special GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,345 Park Avenue,10154,Kenneth,Caplan,,Executive Officer,Senior Managing Director of the General Partner of the Special GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,345 Park Avenue,10154,Kathleen,McCarthy,,Executive Officer,Senior Managing Director of the General Partner of the Special GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,345 Park Avenue,10154,Timothy,Johnson,,Executive Officer,Senior Managing Director of the General Partner of the Special GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,345 Park Avenue,10154,Nentcho,Nentchev,,Executive Officer,Senior Managing Director of the General Partner of the Special GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
