_section,businessCombinationTransaction_businessCombinationTransaction_clarificationOfResponse,businessCombinationTransaction_businessCombinationTransaction_isBusinessCombinationTransaction,cik,durationOfOffering_durationOfOffering_moreThanOneYear,edgarPreviousNameList_edgarPreviousNameList_value,entityName,entityType,federalExemptionsExclusions_federalExemptionsExclusions_item,industryGroup_industryGroup_industryGroupType,industryGroup_industryGroup_investmentFundInfo_investmentFundInfo_investmentFundType,industryGroup_industryGroup_investmentFundInfo_investmentFundInfo_is40Act,investors_investors_hasNonAccreditedInvestors,investors_investors_totalNumberAlreadyInvested,issuerAddress_issuerAddress_city,issuerAddress_issuerAddress_stateOrCountry,issuerAddress_issuerAddress_stateOrCountryDescription,issuerAddress_issuerAddress_street1,issuerAddress_issuerAddress_zipCode,issuerPhoneNumber,issuerPreviousNameList_issuerPreviousNameList_value,issuerSize_issuerSize_aggregateNetAssetValueRange,jurisdictionOfInc,minimumInvestmentAccepted,offeringSalesAmounts_offeringSalesAmounts_clarificationOfResponse,offeringSalesAmounts_offeringSalesAmounts_totalAmountSold,offeringSalesAmounts_offeringSalesAmounts_totalOfferingAmount,offeringSalesAmounts_offeringSalesAmounts_totalRemaining,relatedPersonAddress_relatedPersonAddress_city,relatedPersonAddress_relatedPersonAddress_stateOrCountry,relatedPersonAddress_relatedPersonAddress_stateOrCountryDescription,relatedPersonAddress_relatedPersonAddress_street1,relatedPersonAddress_relatedPersonAddress_zipCode,relatedPersonName_relatedPersonName_firstName,relatedPersonName_relatedPersonName_lastName,relatedPersonName_relatedPersonName_middleName,relatedPersonRelationshipList_relatedPersonRelationshipList_relationship,relationshipClarification,salesCommissionsFindersFees_salesCommissionsFindersFees_clarificationOfResponse,salesCommissionsFindersFees_salesCommissionsFindersFees_findersFees_findersFees_dollarAmount,salesCommissionsFindersFees_salesCommissionsFindersFees_salesCommissions_salesCommissions_dollarAmount,salesCompensationList,schemaVersion,signatureBlock_signatureBlock_authorizedRepresentative,signatureBlock_signatureBlock_signature_signature_issuerName,signatureBlock_signatureBlock_signature_signature_nameOfSigner,signatureBlock_signatureBlock_signature_signature_signatureDate,signatureBlock_signatureBlock_signature_signature_signatureName,signatureBlock_signatureBlock_signature_signature_signatureTitle,submissionType,testOrLive,typeOfFiling_typeOfFiling_dateOfFirstSale_dateOfFirstSale_value,typeOfFiling_typeOfFiling_newOrAmendment_newOrAmendment_isAmendment,typesOfSecuritiesOffered_typesOfSecuritiesOffered_isPooledInvestmentFundType,useOfProceeds_useOfProceeds_clarificationOfResponse,useOfProceeds_useOfProceeds_grossProceedsUsed_grossProceedsUsed_dollarAmount,yearOfInc_yearOfInc_value,yearOfInc_yearOfInc_withinFiveYears
schemaVersion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X0708,,,,,,,,,,,,,,,
submissionType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,
testOrLive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIVE,,,,,,,
primaryIssuer,,,0001734789,,None,Blackstone Property Partners Europe GR Feeder - G L.P.,Limited Partnership,,,,,,,NEW YORK,NY,NEW YORK,345 PARK AVENUE,10154,(212) 583-5000,None,,CAYMAN ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,true
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,345 Park Avenue,10154,n/a,Blackstone Property Associates Europe L.P.,,Promoter,"The General Partner (the ""GP"") of the Issuer.",,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,345 Park Avenue,10154,n/a,Blackstone Property Associates Europe (Delaware) L.L.C.,,Promoter,"The General Partner of the GP (""DE GP of the GP"") of the Issuer.",,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,345 Park Avenue,10154,n/a,Blackstone Property Associates Europe Ltd.,,Promoter,The General Partner of the GP of the Issuer.,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,345 Park Avenue,10154,Kenneth,Caplan,,Executive Officer,Executive Officer of the DE GP of the GP.,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,345 Park Avenue,10154,Frank,Cohen,,Executive Officer,Executive Officer of the DE GP of the GP.,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,345 Park Avenue,10154,Giovanni,Cutaia,,Executive Officer,Executive Officer of the DE GP of the GP.,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,345 Park Avenue,10154,Robert,Harper,,Executive Officer,Executive Officer of the DE GP of the GP.,,,,,,,,,,,,,,,,,,,,
relatedPersonsList,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,NY,NEW YORK,345 Park Avenue,10154,Jonathan,Gray,D.,Executive Officer,Executive Officer of the DE GP of the GP.,,,,,,,,,,,,,,,,,,,,
